,id,name,start_date,FIRE_SIZE_CLASS,cause,end_date,size,lat,lon,state,start_year,start_month,start_day_of_year,end_year,end_month,end_day_of_year,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,prcp_30
3050,1441447,,2005-10-18,B,Human,2005-10-18,1.0,36.26,-89.1133333,TN,2005,10,291,2005.0,10.0,291.0,20.5,12.0,30.0,0.0,,,3.4,,,,0.0
3051,2194099,3RD ST  DHSP,2019-11-05,A,Missing data/not specified/undetermined,,0.11,33.9642,-116.503843,CA,2019,11,309,,,,23.4,14.4,33.3,0.0,,,9.1,,1014.8,,0.0
3052,32747,BROOM WFU-FS ASST 12,2008-10-01,C,Natural,2008-11-07,15.0,38.9,-115.45,NV,2008,10,275,2008.0,11.0,312.0,13.7,1.7,26.1,0.0,0.0,,14.0,,1019.4,,9.0
3053,839647,,1998-02-25,B,Human,,3.0,33.0969,-86.2611,AL,1998,2,56,,,,,2.8,23.3,0.0,0.0,,,,,,162.9
3054,2083823,18-000227,2018-05-02,B,Human,2018-05-02,2.5,41.286213,-88.621872,IL,2018,5,122,2018.0,5.0,122.0,23.8,19.6,29.8,0.0,,,20.1,,,,0.0
3055,534055,STRUCTURE,2009-04-23,B,Human,2009-04-23,3.0,35.98717,-78.79716,NC,2009,4,113,2009.0,4.0,113.0,16.6,5.0,26.7,0.0,0.0,,8.6,,1018.5,,92.89999999999999
3056,1033015,FENCE,1999-03-23,B,Human,,0.3,35.6917,-81.6617,NC,1999,3,82,,,,10.6,1.7,19.4,0.0,,,7.6,,,,72.7
3057,1702834,,2004-03-02,C,Missing data/not specified/undetermined,,10.0,17.956533,-66.121941,PR,2004,3,62,,,,24.4,21.7,27.2,1.5,0.0,,28.8,,,239.0,67.6
3058,1605820,,2012-09-29,B,Human,2012-09-29,9.0,33.63906,-93.99015,AR,2012,9,273,2012.0,9.0,273.0,21.1,18.9,22.8,0.0,,,9.8,,1014.1,,0.3
3059,130037,MEADOW 2,2000-08-24,A,Human,2000-08-24,0.1,39.935,-121.06694444,CA,2000,8,237,2000.0,8.0,237.0,19.1,14.4,23.9,0.0,,,6.9,,1017.3,,0.0
3060,942797,,2000-10-29,B,Human,,0.5,35.4517,-85.1017,TN,2000,10,303,,,,18.9,12.8,24.4,0.0,,,4.7,,1022.9,,11.2
3061,1702490,,2004-02-01,B,Missing data/not specified/undetermined,,0.5,17.969381,-66.883492,PR,2004,2,32,,,,25.0,20.6,29.4,0.0,0.0,,10.1,,,426.0,49.2
3062,533875,MCCOY POND,2009-04-29,B,Human,2009-04-29,5.0,35.15367,-77.28783,NC,2009,4,119,2009.0,4.0,119.0,20.3,14.0,27.8,0.0,,,9.5,,,,6.9
3063,1908958,15 MILE,2017-07-04,A,Human,2017-07-05,0.1,44.02394,-107.983553,WY,2017,7,185,2017.0,7.0,186.0,26.0,16.1,35.6,0.0,,,9.4,,1012.4,,0.3
3064,1420733,,2009-03-09,B,Human,,0.5,31.60502,-93.47668,LA,2009,3,68,,,,21.8,18.0,28.0,0.0,,,13.0,,,,0.0
3065,764321,,1994-03-24,A,Human,,0.1,47.17563,-121.97636,WA,1994,3,83,,,,9.1,2.2,15.0,0.0,,28.0,19.9,,1017.2,,0.0
3066,731198,,1995-05-27,B,Missing data/not specified/undetermined,1995-05-27,0.5,33.30416667,-79.95833333,SC,1995,5,147,1995.0,5.0,147.0,25.8,20.0,32.2,0.0,0.0,,13.0,31.3,1018.1,665.0,17.299999999999997
3067,193303,,1994-04-19,B,Human,1994-04-19,3.5,45.1666,-107.534,MT,1994,4,109,1994.0,4.0,109.0,13.8,2.8,23.9,0.0,0.0,,9.4,44.3,,769.0,42.5
