,start_date,FIRE_SIZE_CLASS,category,cause,size,lat,lon,buinfdr,ercnfdr,icnfdr,scnfdr,u10,v10,t2m,blh,cape,lai_hv,lai_lv,slt
1917,1996-05-13,C,Missing data/not specified/undetermined,Missing data/not specified/undetermined,25.0,31.73750661,-111.46449798,,,,,,,,,,,,
1918,2020-09-29,B,Human,Equipment and vehicle use,6.0,39.38323511,-98.24724919,9.0,5.0,9.0,2.0,,,,,,,,
1919,1992-04-05,B,Human,Debris and open burning,1.0,47.95,-98.7837,,,,,,,,,,,,
1920,2006-03-05,B,Human,Smoking,1.0,35.27167998,-83.11166998,,,,,,,,,,,,
1921,2018-08-01,B,Human,Debris and open burning,1.0,42.633513,-88.287277,22.0,26.0,15.0,3.0,,,,,,,,
1922,1996-04-06,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,5.0,40.04398,-111.86985,,,,,,,,,,,,
1923,2000-03-13,B,Human,Debris and open burning,4.0,27.78,-81.82,,,,,,,,,,,,
1924,2009-05-02,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.25,21.3616199,-158.0894012,,,,,,,,,,,,
1925,2000-04-13,C,Human,Missing data/not specified/undetermined,25.0,35.71332998,-105.25060001,,,,,,,,,,,,
1926,2006-10-24,B,Human,Debris and open burning,1.0,30.69944001,-85.15139002,,,,,,,,,,,,
1927,1992-08-04,A,Natural,Natural,0.1,38.7499,-115.5342,,,,,,,,,,,,
1928,2015-06-29,A,Human,Debris and open burning,0.01,46.08306,-123.735,24.0,30.0,11.0,3.0,,,,,,,,
1929,2005-03-29,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1.0,18.107065,-66.193794,,,,,,,,,,,,
1930,2011-03-08,B,Human,Debris and open burning,1.0,35.28698333,-79.73735,27.0,29.0,16.0,4.0,-0.6488504409790039,6.222806930541992,290.658203125,603.9745483398438,53.8125,0.0,0.0,0.0
1931,2002-12-01,A,Human,Recreation and ceremony,0.1,35.52608,-101.74948,,,,,,,,,,,,
1932,1994-03-17,C,Human,Debris and open burning,20.84,32.4578,-81.4658,,,,,,,,,,,,
